dkt_roi,dkt_name,dk_name
4,left_lateral_ventricle,Left-Lateral-Ventricle
5,left_inferior_lateral_ventricle,Left-Inf-Lat-Vent
6,left_cerebellum_exterior,Left-Cerebellum-Cortex
7,left_cerebellum_white_matter,Left-Cerebellum-White-Matter
10,left_thalamus_proper,Left-Thalamus
11,left_caudate,Left-Caudate
12,left_putamen,Left-Putamen
13,left_pallidum,Left-Pallidum
14,3rd_ventricle,3rd-Ventricle
15,4th_ventricle,4th-Ventricle
16,Brain_stem,Brain-Stem
17,left_hippocampus,Left-Hippocampus
18,left_amygdala,Left-Amygdala
26,left_accumbens_area,Left-Accumbens-area
28,left_ventral_DC,Left-VentralDC
30,left_vessel,Left-vessel
43,right_lateral_ventricle,Right-Lateral-Ventricle
44,right_inferior_lateral_ventricle,Right-Inf-Lat-Vent
45,right_cerebellum_exterior,Right-Cerebellum-Cortex
46,right_cerebellum_white_matter,Right-Cerebellum-White-Matter
49,right_thalamus_proper,Right-Thalamus
50,right_caudate,Right-Caudate
51,right_putamen,Right-Putamen
52,right_pallidum,Right-Pallidum
53,right_hippocampus,Right-Hippocampus
54,right_amygdala,Right-Amygdala
58,right_accumbens_area,Right-Accumbens-area
60,right_ventral_DC,Right-VentralDC
62,right_vessel,Right-vessel
1002,left_caudal_anterior_cingulate,lh_caudalanteriorcingulate
1003,left_caudal_middle_frontal,lh_caudalmiddlefrontal
1005,left_cuneus,lh_cuneus
1006,left_entorhinal,lh_entorhinal
1007,left_fusiform,lh_fusiform
1008,left_inferior_parietal,lh_inferiorparietal
1009,left_inferior_temporal,lh_inferiortemporal
1010,left_isthmus_cingulate,lh_isthmuscingulate
1011,left_lateral_occipital,lh_lateraloccipital
1012,left_lateral_orbitofrontal,lh_lateralorbitofrontal
1013,left_lingual,lh_lingual
1014,left_medial_orbitofrontal,lh_medialorbitofrontal
1015,left_middle_temporal,lh_middletemporal
1016,left_parahippocampal,lh_parahippocampal
1017,left_paracentral,lh_paracentral
1018,left_pars_opercularis,lh_parsopercularis
1019,left_pars_orbitalis,lh_parsorbitalis
1020,left_pars_triangularis,lh_parstriangularis
1021,left_pericalcarine,lh_pericalcarine
1022,left_postcentral,lh_postcentral
1023,left_posterior_cingulate,lh_posteriorcingulate
1024,left_precentral,lh_precentral
1025,left_precuneus,lh_precuneus
1026,left_rostral_anterior_cingulate,lh_rostralanteriorcingulate
1027,left_rostral_middle_frontal,lh_rostralmiddlefrontal
1028,left_superior_frontal,lh_superiorfrontal
1029,left_superior_parietal,lh_superiorparietal
1030,left_superior_temporal,lh_superiortemporal
1031,left_supramarginal,lh_supramarginal
1034,left_transverse_temporal,lh_transversetemporal
1035,left_insula,lh_insula
2002,right_caudal_anterior_cingulate,rh_caudalanteriorcingulate
2003,right_caudal_middle_frontal,rh_caudalmiddlefrontal
2005,right_cuneus,rh_cuneus
2006,right_entorhinal,rh_entorhinal
2007,right_fusiform,rh_fusiform
2008,right_inferior_parietal,rh_inferiorparietal
2009,right_inferior_temporal,rh_inferiortemporal
2010,right_isthmus_cingulate,rh_isthmuscingulate
2011,right_lateral_occipital,rh_lateraloccipital
2012,right_lateral_orbitofrontal,rh_lateralorbitofrontal
2013,right_lingual,rh_lingual
2014,right_medial_orbitofrontal,rh_medialorbitofrontal
2015,right_middle_temporal,rh_middletemporal
2016,right_parahippocampal,rh_parahippocampal
2017,right_paracentral,rh_paracentral
2018,right_pars_opercularis,rh_parsopercularis
2019,right_pars_orbitalis,rh_parsorbitalis
2020,right_pars_triangularis,rh_parstriangularis
2021,right_pericalcarine,rh_pericalcarine
2022,right_postcentral,rh_postcentral
2023,right_posterior_cingulate,rh_posteriorcingulate
2024,right_precentral,rh_precentral
2025,right_precuneus,rh_precuneus
2026,right_rostral_anterior_cingulate,rh_rostralanteriorcingulate
2027,right_rostral_middle_frontal,rh_rostralmiddlefrontal
2028,right_superior_frontal,rh_superiorfrontal
2029,right_superior_parietal,rh_superiorparietal
2030,right_superior_temporal,rh_superiortemporal
2031,right_supramarginal,rh_supramarginal
2034,right_transverse_temporal,rh_transversetemporal
2035,right_insula,rh_insula