roi,name,hemisphere,lobe
2,lh_caudalanteriorcingulate,L,Frontal
3,lh_caudalmiddlefrontal,L,Frontal
5,lh_cuneus,L,Occipital
6,lh_entorhinal,L,Temporal
7,lh_fusiform,L,Temporal
8,lh_inferiorparietal,L,Parietal
9,lh_inferiortemporal,L,Temporal
10,lh_isthmuscingulate,L,Parietal
11,lh_lateraloccipital,L,Occipital
12,lh_lateralorbitofrontal,L,Frontal
13,lh_lingual,L,Occipital
14,lh_medialorbitofrontal,L,Frontal
15,lh_middletemporal,L,Temporal
16,lh_parahippocampal,L,Temporal
17,lh_paracentral,L,Frontal
18,lh_parsopercularis,L,Frontal
19,lh_parsorbitalis,L,Frontal
20,lh_parstriangularis,L,Frontal
21,lh_pericalcarine,L,Occipital
22,lh_postcentral,L,Parietal
23,lh_posteriorcingulate,L,Parietal
24,lh_precentral,L,Frontal
25,lh_precuneus,L,Parietal
26,lh_rostralanteriorcingulate,L,Frontal
27,lh_rostralmiddlefrontal,L,Frontal
28,lh_superiorfrontal,L,Frontal
29,lh_superiorparietal,L,Parietal
30,lh_superiortemporal,L,Temporal
31,lh_supramarginal,L,Parietal
34,lh_transversetemporal,L,Temporal
35,lh_insula,L,Subcortical
2,rh_caudalanteriorcingulate,R,Frontal
3,rh_caudalmiddlefrontal,R,Frontal
5,rh_cuneus,R,Occipital
6,rh_entorhinal,R,Temporal
7,rh_fusiform,R,Temporal
8,rh_inferiorparietal,R,Parietal
9,rh_inferiortemporal,R,Temporal
10,rh_isthmuscingulate,R,Parietal
11,rh_lateraloccipital,R,Occipital
12,rh_lateralorbitofrontal,R,Frontal
13,rh_lingual,R,Occipital
14,rh_medialorbitofrontal,R,Frontal
15,rh_middletemporal,R,Temporal
16,rh_parahippocampal,R,Temporal
17,rh_paracentral,R,Frontal
18,rh_parsopercularis,R,Frontal
19,rh_parsorbitalis,R,Frontal
20,rh_parstriangularis,R,Frontal
21,rh_pericalcarine,R,Occipital
22,rh_postcentral,R,Parietal
23,rh_posteriorcingulate,R,Parietal
24,rh_precentral,R,Frontal
25,rh_precuneus,R,Parietal
26,rh_rostralanteriorcingulate,R,Frontal
27,rh_rostralmiddlefrontal,R,Frontal
28,rh_superiorfrontal,R,Frontal
29,rh_superiorparietal,R,Parietal
30,rh_superiortemporal,R,Temporal
31,rh_supramarginal,R,Parietal
34,rh_transversetemporal,R,Temporal
35,rh_insula,R,Subcortical
1,lh_bankssts,L,Temporal
32,lh_frontalpole,L,Frontal
33,lh_temporalpole,L,Temporal
1,rh_bankssts,R,Temporal
32,rh_frontalpole,R,Frontal
33,rh_temporalpole,R,Temporal
N/A,Left-Lateral-Ventricle,L,Other
N/A,Left-Inf-Lat-Vent,L,Other
N/A,Left-Cerebellum-Cortex,L,Subcortical
N/A,Left-Cerebellum-White-Matter,L,Subcortical
N/A,Left-Thalamus,L,Subcortical
N/A,Left-Caudate,L,Subcortical
N/A,Left-Putamen,L,Subcortical
N/A,Left-Pallidum,L,Subcortical
N/A,3rd-Ventricle,B,Other
N/A,4th-Ventricle,B,Other
N/A,Brain-Stem,B,Subcortical
N/A,Left-Hippocampus,L,Subcortical
N/A,Left-Amygdala,L,Subcortical
N/A,Left-Accumbens-area,L,Subcortical
N/A,Left-VentralDC,L,Subcortical
N/A,Left-vessel,L,Other
N/A,Right-Lateral-Ventricle,R,Other
N/A,Right-Inf-Lat-Vent,R,Subcortical
N/A,Right-Cerebellum-Cortex,R,Subcortical
N/A,Right-Cerebellum-White-Matter,R,Subcortical
N/A,Right-Thalamus,R,Subcortical
N/A,Right-Caudate,R,Subcortical
N/A,Right-Putamen,R,Subcortical
N/A,Right-Pallidum,R,Subcortical
N/A,Right-Hippocampus,R,Subcortical
N/A,Right-Amygdala,R,Subcortical
N/A,Right-Accumbens-area,R,Subcortical
N/A,Right-VentralDC,R,Subcortical
N/A,Right-vessel,R,Other